City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,chipata,-13.6333,32.65,286.37,95,98,2.16,ZM,1682564133
1,port-aux-francais,-49.35,70.2167,279.58,97,100,10.41,TF,1682564134
2,blackmans bay,-43.0167,147.3167,290.78,75,100,3.61,AU,1682564135
3,grytviken,-54.2811,-36.5092,273.83,73,100,4.13,GS,1682564137
4,puerto ayora,-0.7393,-90.3518,297.9,93,6,1.34,EC,1682564138
5,pangoa,-12.1167,-73.0,294.74,92,67,0.5,PE,1682564140
6,tiksi,71.6872,128.8694,267.26,80,55,0.98,RU,1682564141
7,tura,25.5198,90.2201,304.83,29,5,1.77,IN,1682564142
8,utrik,11.2278,169.8474,299.97,82,26,9.26,MH,1682564143
9,bhisho,-32.8472,27.4422,293.19,35,84,3.62,ZA,1682564057
10,carnarvon,-24.8667,113.6333,297.09,37,5,6.01,AU,1682564146
11,tobruk,32.0836,23.9764,290.65,78,0,6.31,LY,1682564116
12,quellon,-43.1167,-73.6167,281.29,87,100,1.54,CL,1682564148
13,bethel,41.3712,-73.414,282.7,82,94,1.66,US,1682564150
14,codrington,-38.2667,141.9667,294.09,58,14,7.86,AU,1682564151
15,yellowknife,62.456,-114.3525,274.44,100,100,2.57,CA,1682564152
16,aripuana,-9.1667,-60.6333,295.83,96,34,0.16,BR,1682563982
17,benghazi,32.1167,20.0667,291.06,79,0,4.69,LY,1682564155
18,bilibino,68.0546,166.4372,270.33,79,46,1.24,RU,1682564157
19,cruces,22.3411,-80.2667,300.77,69,100,1.36,CU,1682564158
20,el porvenir,13.7617,-87.3458,299.5,92,78,1.27,HN,1682564160
21,businga,3.3333,20.8833,293.08,99,92,0.63,CD,1682564161
22,adamstown,-25.066,-130.1015,297.38,68,24,3.51,PN,1682564164
23,puerto lopez,4.0845,-72.956,296.26,90,50,0.65,CO,1682564167
24,ancud,-41.8697,-73.8203,281.58,94,97,2.09,CL,1682564169
25,albany,42.6001,-73.9662,281.02,90,93,1.15,US,1682563907
26,afaahiti,-17.75,-149.2833,302.08,82,100,4.15,PF,1682564173
27,edinburgh of the seven seas,-37.0676,-12.3116,289.44,75,93,11.99,SH,1682564175
28,invercargill,-46.4,168.35,284.83,82,38,0.89,NZ,1682564177
29,west island,-12.1568,96.8225,301.14,78,40,8.75,CC,1682564179
30,banda aceh,5.5577,95.3222,303.5,63,64,2.72,ID,1682564182
31,iqaluit,63.7506,-68.5145,272.0,92,75,2.06,CA,1682563917
32,alice springs,-23.7,133.8833,303.9,27,97,4.63,AU,1682564081
33,labrador city,52.9463,-66.9114,276.1,75,75,0.0,CA,1682564188
34,esikhaleni,-28.871,31.8996,294.56,89,1,6.0,ZA,1682564190
35,ushuaia,-54.8,-68.3,278.96,75,0,0.51,AR,1682564192
36,sitka,57.0531,-135.33,280.09,70,100,5.14,US,1682564196
37,zaozersk,69.4005,32.4476,272.32,78,99,3.27,RU,1682564198
38,yuzhno-kurilsk,44.0306,145.8556,279.12,61,29,13.8,RU,1682564200
39,puerto natales,-51.7236,-72.4875,277.18,85,69,2.41,CL,1682564201
40,waitangi,-43.9535,-176.5597,285.27,89,48,3.13,NZ,1682564202
41,pyhajarvi,67.0701,27.2176,272.12,94,91,3.71,FI,1682564204
42,st. john's,47.5649,-52.7093,274.7,91,100,7.2,CA,1682564020
43,la'ie,21.6477,-157.9253,301.13,88,97,1.79,US,1682564206
